       userID  n_steps_in  n_steps_out  n_nodes  n_epochs  n_batch  errorTrain  errorTest
0   000000061           8            5       16        30        1        6.30       7.42
1   000000061           5            5       16        30        1        6.35       7.91
2   000000061          10            5        8        30      150        6.70       8.25
3   000000022           8            5       16        30       20        7.14       7.90
4   000000022           5            5        8        30       20        8.26       8.31
5   000000022           5            5        8        30        1        8.27       8.59
6   000000324           8            5        8        30        1        0.91       0.82
7   000000324           8            5        4        30        1        0.92       0.90
8   000000324          10            5        8        30      150        0.85       0.92
9   000000066           5            5       16        30       20        4.34       3.71
10  000000066          10            5       16        30      150        4.68       3.85
11  000000066           8            5       16        30       20        4.36       4.01
12  000000234          10            5        8        30        1        9.96       6.53
13  000000234          10            5       16        30       20        9.38       6.69
14  000000234          10            5        4        30        1       10.32       7.12
15  000000560          10            5       16        30      150        6.46       7.77
16  000000560           5            5       16        30      150        6.45       8.25
17  000000560           8            5        8        30       20        6.41       8.32
18  000000562           8            5       16        30      150        1.82       1.80
19  000000562          10            5       16        30      150        1.56       1.96
20  000000562           5            5       16        30      150        1.74       2.11
21  000000068           8            5       16        30       20        5.00       5.18
22  000000068           8            5        8        30       20        4.90       5.94
23  000000068           8            5        8        30        1        5.64       5.96
24  000000566          10            5        4        30        1        3.91       3.97
25  000000566           8            5        8        30       20        4.11       4.21
26  000000566           5            5        4        30        1        3.51       4.24
27  000000559          10            5        8        30        1        3.23       3.55
28  000000559           8            5        8        30        1        3.18       3.93
29  000000559           5            5       16        30        1        3.02       4.01
