Month,MunicipalityNo,CapacityGe100MW,CapacityLt100MW,OffshoreWindCapacity,OnshoreWindCapacity,SolarPowerCapacity,NumberGenerationUnitsGe100MW,NumberGenerationUnitsLt100MW,NumberOffshoreWindGenerators,NumberOnshoreWindGenerators,NumberSolarPanels
2022-02-01,860,,96.492,,123.217,16.55232,0,21,0,248,1761
2022-02-01,851,410,53.541,,159.234,17.74397,1,31,0,198,3430
2022-02-01,849,,21.252,,197.3295,9.6728,0,14,0,208,1500
2022-02-01,846,,10.663,,104.3703,8.70071,0,15,0,78,1554
2022-02-01,840,,18.856,,48.72,5.97613,0,14,0,79,1346
2022-02-01,825,,0.0531,,0.18,7.4941,0,10,0,1,137
2022-02-01,820,,20.722,,140.524,39.95428,0,17,0,150,1498
2022-02-01,813,,39.143,7.6,49.08,27.28372,0,20,3,93,1642
2022-02-01,810,,50.483,,92.5002,7.56466,0,21,0,102,1077
2022-02-01,791,,108.401,,61.719,19.35746,0,37,0,93,3110
2022-02-01,787,,27.663,,203.9615,53.7299,0,22,0,540,1997
2022-02-01,779,,32.237,,118.0688,51.62487,0,26,0,177,2176
2022-02-01,773,,13.801,,78.6095,30.15252,0,9,0,174,696
2022-02-01,766,,8.815,,28.003,10.76008,0,6,0,67,2123
2022-02-01,760,,54.846,,498.4619,50.91954,0,27,0,357,2335
2022-02-01,756,,29.681,,67.4045,8.99678,0,17,0,62,1317
2022-02-01,751,760,81.612,,11.4315,35.23236,2,22,0,35,5113
2022-02-01,746,,3.8976,,17.0575,9.62843,0,7,0,20,1929
2022-02-01,741,,,23,11.399,1.48668,0,0,10,27,260
2022-02-01,740,,113.738,,20.341,28.88763,0,14,0,49,2892
2022-02-01,730,,85.825,,248.167,56.38741,0,9,0,158,2022
2022-02-01,727,,5.3,5,15.707,3.56215,0,3,10,17,779
2022-02-01,710,,21.9506,,34.969,7.78252,0,22,0,58,1398
2022-02-01,707,,26.109,399.6,52.668,30.82103,0,6,111,91,968
2022-02-01,706,,0.78,,18.8455,8.60225,0,6,0,46,1530
2022-02-01,671,,,,62.381,4.24028,0,0,0,95,736
2022-02-01,665,,26.59,45.2,154.822,44.5518,0,12,12,198,916
2022-02-01,661,,43.972,,230.2676,188.28262,0,10,0,195,1844
2022-02-01,657,,107.222,,136.7351,14.8005,0,17,0,147,2160
2022-02-01,630,,19.332,,53.6075,94.32083,0,12,0,75,3446
2022-02-01,621,,12.15,,34.162,14.2144,0,9,0,42,2002
2022-02-01,615,,40.911,,3.59,13.64154,0,6,0,14,2431
2022-02-01,607,427,28.422,,2.278,8.3868,1,5,0,8,968
2022-02-01,580,,5.788,,84.559,32.78163,0,13,0,108,1609
2022-02-01,575,,10.796,,61.11,9.1624,0,14,0,97,1411
2022-02-01,573,,16.2997,,99.787,13.75628,0,18,0,137,1893
2022-02-01,563,,,,1.98,0.8316,0,0,0,3,158
2022-02-01,561,401,70.781,776,81.6814,14.569,1,14,220,69,2048
2022-02-01,550,,76.496,,175.636,9.19971,0,40,0,337,1459
2022-02-01,540,,79.116,,14.0145,38.72272,0,14,0,35,1986
2022-02-01,530,,29.874,,92.5945,6.7638,0,13,0,64,867
2022-02-01,510,,47.761,,40.714,10.77582,0,25,0,67,1617
2022-02-01,492,,0.75,,12.026,1.5122,0,1,0,9,307
2022-02-01,482,,,,43.806,2.3601,0,0,0,67,348
2022-02-01,480,,21.186,,26.442,5.38748,0,12,0,55,917
2022-02-01,479,,26.481,,34.633,11.94796,0,16,0,53,1367
2022-02-01,461,372,122.184,,11.136,16.74113,1,35,0,16,1736
2022-02-01,450,,16.313,,28.993,3.6195,0,4,0,40,650
2022-02-01,440,,5.295,,24.95,3.4766,0,5,0,16,499
2022-02-01,430,,28.067,,15.779,9.22146,0,14,0,35,1512
2022-02-01,420,,36.064,,31.182,12.8433,0,19,0,56,1243
2022-02-01,410,,8.293,,13.6305,8.4998,0,8,0,26,1240
2022-02-01,400,,102.41,,37.1096,22.3705,0,6,0,86,1099
2022-02-01,390,,101.041,604.8,17.8485,8.65235,0,11,72,58,1174
2022-02-01,376,,38.704,,58.7575,22.57126,0,7,0,142,1444
2022-02-01,370,,53.6932,,68.657,60.40916,0,29,0,86,1864
2022-02-01,360,,16.126,372.6,273.236,109.50916,0,3,162,204,1006
2022-02-01,350,,3.266,,5.448,5.0459,0,3,0,19,803
2022-02-01,340,,10.964,,6.833,3.89631,0,6,0,10,672
2022-02-01,336,,6.952,,9.9255,3.84654,0,5,0,27,701
2022-02-01,330,407,22.4975,21,44.067,35.16614,2,96,7,111,1517
2022-02-01,329,,12.048,,9.049,4.51568,0,4,0,19,654
2022-02-01,326,787,33.0905,,80.716,53.15524,2,7,0,121,1406
2022-02-01,320,,7.71,,35.235,5.79042,0,4,0,45,930
2022-02-01,316,,8.728,,59.4791,44.32854,0,12,0,71,1351
2022-02-01,306,,13.072,,5.1171,6.29434,0,14,0,43,1097
2022-02-01,270,,17.545,,0.738,5.8119,0,7,0,23,1069
2022-02-01,269,,3.5915,,0.616,2.80564,0,3,0,4,620
2022-02-01,265,,34.935,,7.865,12.32126,0,4,0,22,1531
2022-02-01,260,,0.015,,4.182,4.5421,0,1,0,11,723
2022-02-01,259,,43.047,,3.988,12.62019,0,14,0,12,1144
2022-02-01,253,,1.285,,0.371,6.6972,0,4,0,3,887
2022-02-01,250,520,163.672,,3.041,4.98508,2,9,0,13,902
2022-02-01,240,,13.641,,0.137,5.5208,0,7,0,4,1016
2022-02-01,230,,3.824,,,5.021,0,9,0,0,720
2022-02-01,223,,16.367,,,2.0508,0,3,0,0,244
2022-02-01,219,,86.094,,4.087,6.92,0,9,0,12,929
2022-02-01,217,,74.4015,,0.046,4.74414,0,10,0,3,677
2022-02-01,210,,1.348,,,3.1339,0,3,0,0,472
2022-02-01,201,,4.697,,2.753,3.57168,0,10,0,6,600
2022-02-01,190,,0.353,,,2.99812,0,2,0,0,577
2022-02-01,187,,,,0.001,0.9611,0,0,0,1,165
2022-02-01,185,,0.922,,,3.0425,0,1,0,0,540
2022-02-01,183,,,,0.011,2.2963,0,0,0,1,199
2022-02-01,175,,,,,2.0213,0,0,0,0,318
2022-02-01,173,,41.172,,,3.2548,0,8,0,0,417
2022-02-01,169,,1.042,,0.85,8.4437,0,2,0,1,614
2022-02-01,167,699,117.064,10.8,2.005,5.6018,2,3,3,4,554
2022-02-01,165,,,,,1.656,0,0,0,0,173
2022-02-01,163,,,,,3.3243,0,0,0,0,408
2022-02-01,161,,41.79,,0.9,2.1239,0,3,0,3,313
2022-02-01,159,,6.883,,,3.9823,0,4,0,0,623
2022-02-01,157,,,,,3.1753,0,0,0,0,339
2022-02-01,155,,0.03,,,1.1515,0,1,0,0,206
2022-02-01,153,,0.04,,5.5,2.8447,0,1,0,1,274
2022-02-01,151,,3.887,,,6.4157,0,6,0,0,632
2022-02-01,147,,,,,1.9721,0,0,0,0,114
2022-02-01,101,150,327.45,40,10.654,21.7287,1,10,20,13,1383
2022-02-01,1,,0.18,,,,0,9,0,0,0
2022-01-01,860,,96.492,,123.217,16.48914,0,21,0,248,1757
2022-01-01,851,410,53.541,,159.234,17.62995,1,31,0,198,3408
2022-01-01,849,,21.252,,197.3295,9.6741,0,14,0,208,1499
2022-01-01,846,,10.663,,104.3703,8.69084,0,15,0,78,1550
2022-01-01,840,,18.856,,48.72,5.89642,0,14,0,79,1338
2022-01-01,825,,0.0531,,0.18,7.4941,0,10,0,1,137
2022-01-01,820,,20.722,,140.524,39.93588,0,17,0,150,1495
2022-01-01,813,,39.143,7.6,49.08,9.94394,0,20,3,93,1636
2022-01-01,810,,50.483,,92.5002,7.4098,0,21,0,102,1071
2022-01-01,791,,108.401,,61.719,19.32934,0,37,0,93,3105
2022-01-01,787,,27.663,,209.4615,53.6633,0,22,0,541,1996
2022-01-01,779,,32.237,,118.0688,51.58323,0,26,0,177,2172
2022-01-01,773,,13.801,,78.6095,30.1512,0,9,0,174,695
2022-01-01,766,,8.815,,28.003,10.7048,0,6,0,67,2105
2022-01-01,760,,57.906,,498.9119,50.86574,0,28,0,359,2328
2022-01-01,756,,29.681,,67.4045,8.9597,0,17,0,62,1307
2022-01-01,751,760,81.612,,11.4315,34.85297,2,22,0,35,5081
2022-01-01,746,,3.8976,,17.0575,9.51545,0,7,0,20,1916
2022-01-01,741,,,23,11.399,1.49306,0,0,10,27,259
2022-01-01,740,,113.738,,20.341,28.78301,0,14,0,49,2875
2022-01-01,730,,85.825,,233.767,56.26978,0,9,0,154,2009
2022-01-01,727,,5.3,5,15.707,3.55457,0,3,10,17,777
2022-01-01,710,,21.9506,,34.969,7.76565,0,22,0,58,1393
2022-01-01,707,,26.109,399.6,52.668,30.87034,0,6,111,91,969
2022-01-01,706,,0.78,,18.8455,8.6241,0,6,0,46,1526
2022-01-01,671,,,,62.381,4.2366,0,0,0,95,735
2022-01-01,665,,26.59,45.2,154.828,44.5533,0,12,12,199,917
2022-01-01,661,,43.972,,230.2786,188.23393,0,10,0,196,1826
2022-01-01,657,,107.222,,136.7351,14.75029,0,17,0,147,2148
2022-01-01,630,,19.332,,53.6075,94.17691,0,12,0,75,3429
2022-01-01,621,,12.15,,34.162,14.0716,0,9,0,42,1993
2022-01-01,615,,40.911,,3.59,13.54892,0,6,0,14,2407
2022-01-01,607,427,28.422,,2.278,8.3778,1,5,0,8,966
2022-01-01,580,,5.788,,84.459,32.75195,0,13,0,108,1602
2022-01-01,575,,10.796,,61.11,9.1134,0,14,0,97,1405
2022-01-01,573,,16.2997,,99.798,13.73616,0,18,0,138,1887
2022-01-01,563,,,,1.98,0.8325,0,0,0,3,157
2022-01-01,561,401,70.781,776,81.6814,14.44978,1,14,220,69,2035
2022-01-01,550,,77.007,,175.636,9.19064,0,41,0,337,1456
2022-01-01,540,,79.116,,14.0145,38.64906,0,14,0,35,1979
2022-01-01,530,,29.874,,92.5945,6.3848,0,13,0,64,865
2022-01-01,510,,47.761,,40.714,10.74246,0,25,0,67,1612
2022-01-01,492,,0.75,,12.026,1.5122,0,1,0,9,307
2022-01-01,482,,,,43.806,2.3601,0,0,0,67,348
2022-01-01,480,,21.186,,26.442,5.35958,0,12,0,55,912
2022-01-01,479,,26.481,,34.633,11.93778,0,16,0,53,1364
2022-01-01,461,372,122.184,,11.136,16.69013,1,35,0,16,1728
2022-01-01,450,,16.313,,28.993,3.6051,0,4,0,40,647
2022-01-01,440,,5.295,,24.951,3.4802,0,5,0,17,500
2022-01-01,430,,28.127,,15.779,9.19738,0,15,0,35,1505
2022-01-01,420,,36.064,,31.187,12.8147,0,19,0,57,1238
2022-01-01,410,,8.293,,13.6305,8.4844,0,8,0,26,1236
2022-01-01,400,,102.41,,37.1096,22.3669,0,6,0,86,1098
2022-01-01,390,,101.041,604.8,17.8485,8.61556,0,11,72,58,1168
2022-01-01,376,,38.704,,58.7575,22.47176,0,7,0,142,1435
2022-01-01,370,,53.6932,,68.657,60.37948,0,29,0,86,1860
2022-01-01,360,,16.126,372.6,273.236,50.73766,0,3,162,204,1001
2022-01-01,350,,3.266,,5.448,4.9999,0,3,0,19,796
2022-01-01,340,,10.964,,6.833,3.86659,0,6,0,10,666
2022-01-01,336,,6.952,,9.9255,3.79486,0,5,0,27,697
2022-01-01,330,407,22.4975,21,44.067,35.15162,2,96,7,111,1515
2022-01-01,329,,12.048,,9.049,4.50368,0,4,0,19,652
2022-01-01,326,787,33.0905,,80.716,53.14206,2,7,0,121,1403
2022-01-01,320,,7.71,,35.235,5.63306,0,4,0,45,922
2022-01-01,316,,8.728,,59.4791,44.30586,0,12,0,71,1347
2022-01-01,306,,13.072,,5.1171,6.16274,0,14,0,43,1083
2022-01-01,270,,17.545,,0.738,5.7783,0,7,0,23,1062
2022-01-01,269,,3.5915,,0.616,2.80244,0,3,0,4,620
2022-01-01,265,,34.935,,7.865,12.06976,0,4,0,22,1518
2022-01-01,260,,0.015,,4.182,4.4982,0,1,0,11,713
2022-01-01,259,,43.047,,3.988,12.60537,0,14,0,12,1137
2022-01-01,253,,1.285,,0.371,6.6667,0,4,0,3,882
