DatasetYear,AnalysisPreconditions,CalcYear,MunicipalityNo,Municipality,ConsumptionCoverage,ConsumptionCoverageSolar,ConsumptionCoverageThermal,ConsumptionCoverageWind
2021-01-01,ProduktionsReference,2025-01-01,165,Albertslund,0.1,0.1,0,0
2021-01-01,ProduktionsReference,2025-01-01,201,Allerød,8.5,0.3,6.3,1.8
2021-01-01,ProduktionsReference,2025-01-01,420,Assens,59.9,17.7,22.9,19.3
2021-01-01,ProduktionsReference,2025-01-01,151,Ballerup,2.7,0.1,2.6,0
2021-01-01,ProduktionsReference,2025-01-01,153,Brøndby,4.6,4.6,0,0
2021-01-01,ProduktionsReference,2025-01-01,810,Brønderslev,80.7,3.7,27.7,49.2
2021-01-01,ProduktionsReference,2025-01-01,240,Egedal,4.7,4.2,0.4,0.1
2021-01-01,ProduktionsReference,2025-01-01,561,Esbjerg,293.3,2,13.2,278.1
2021-01-01,ProduktionsReference,2025-01-01,320,Faxe,189.6,150.5,0.7,38.4
2021-01-01,ProduktionsReference,2025-01-01,210,Fredensborg,2.7,1.6,1.1,0
2021-01-01,ProduktionsReference,2025-01-01,607,Fredericia,47.9,1.2,46.1,0.7
2021-01-01,ProduktionsReference,2025-01-01,147,Frederiksberg,0.2,0.2,0,0
2021-01-01,ProduktionsReference,2025-01-01,813,Frederikshavn,57.5,10.7,14,32.7
2021-01-01,ProduktionsReference,2025-01-01,250,Frederikssund,13.4,0.4,10.6,2.4
2021-01-01,ProduktionsReference,2025-01-01,190,Furesø,0.1,0.1,0,0
2021-01-01,ProduktionsReference,2025-01-01,157,Gentofte,2.6,0.2,2.4,0
2021-01-01,ProduktionsReference,2025-01-01,159,Gladsaxe,8,5.2,2.8,0
2021-01-01,ProduktionsReference,2025-01-01,161,Glostrup,43.9,1.8,42.1,0
2021-01-01,ProduktionsReference,2025-01-01,253,Greve,0.1,0.1,0,0
2021-01-01,ProduktionsReference,2025-01-01,270,Gribskov,12.7,2,10.2,0.5
2021-01-01,ProduktionsReference,2025-01-01,376,Guldborgsund,512.5,115,23,374.5
2021-01-01,ProduktionsReference,2025-01-01,510,Haderslev,42.4,3.2,14,25.1
2021-01-01,ProduktionsReference,2025-01-01,260,Halsnæs,5.2,2,0,3.3
2021-01-01,ProduktionsReference,2025-01-01,217,Helsingør,42.7,3.6,39.2,0
2021-01-01,ProduktionsReference,2025-01-01,163,Herlev,3.4,0.1,3.3,0
2021-01-01,ProduktionsReference,2025-01-01,657,Herning,101.6,25.3,36.8,39.4
2021-01-01,ProduktionsReference,2025-01-01,219,Hillerød,14.7,5.1,5.6,4
2021-01-01,ProduktionsReference,2025-01-01,860,Hjørring,99.7,4.8,20.3,74.5
2021-01-01,ProduktionsReference,2025-01-01,316,Holbæk,39.6,11.1,3.2,25.3
2021-01-01,ProduktionsReference,2025-01-01,661,Holstebro,658.6,69.3,30.7,558.5
2021-01-01,ProduktionsReference,2025-01-01,615,Horsens,25.1,3.1,14.4,7.6
2021-01-01,ProduktionsReference,2025-01-01,167,Hvidovre,1056.3,0.8,1042.8,12.7
2021-01-01,ProduktionsReference,2025-01-01,169,Høje-Taastrup,7.3,3.5,2.8,1
2021-01-01,ProduktionsReference,2025-01-01,223,Hørsholm,2.8,2.1,0.7,0
2021-01-01,ProduktionsReference,2025-01-01,756,Ikast-Brande,,,,
2021-01-01,ProduktionsReference,2025-01-01,183,Ishøj,,,,
2021-01-01,ProduktionsReference,2025-01-01,849,Jammerbugt,333.3,10.1,13.7,309.5
2021-01-01,ProduktionsReference,2025-01-01,326,Kalundborg,35.2,8.6,9.8,16.8
2021-01-01,ProduktionsReference,2025-01-01,621,Kolding,97.5,79.8,2.3,15.4
2021-01-01,ProduktionsReference,2025-01-01,101,København,47.3,1,42.6,3.7
2021-01-01,ProduktionsReference,2025-01-01,259,Køge,200.2,1.8,24.4,174
2021-01-01,ProduktionsReference,2025-01-01,350,Lejre,7.9,2.3,0,5.6
2021-01-01,ProduktionsReference,2025-01-01,665,Lemvig,1398.1,6.7,24.2,1367.3
2021-01-01,ProduktionsReference,2025-01-01,360,Lolland,382.8,218,0,164.8
2021-01-01,ProduktionsReference,2025-01-01,173,Lyngby-Taarbæk,38.5,0.1,38.4,0
2021-01-01,ProduktionsReference,2025-01-01,846,Mariagerfjord,200.1,8.9,9.7,181.4
2021-01-01,ProduktionsReference,2025-01-01,410,Middelfart,23.7,4,6.6,13.1
2021-01-01,ProduktionsReference,2025-01-01,773,Morsø,134.6,23.4,0,111.1
2021-01-01,ProduktionsReference,2025-01-01,707,Norddjurs,23.4,2.8,0.2,20.4
2021-01-01,ProduktionsReference,2025-01-01,370,Næstved,61.1,33.5,8.3,19.3
2021-01-01,ProduktionsReference,2025-01-01,461,Odense,80.4,24.9,44.4,11.2
