DatasetYear,AnalysisPreconditions,CalcYear,ConnectionPointCode,ConnectionPointName,ConnectionPointLongitude,ConnectionPointLatitude,ProductionSurplus_MWh,ProductionRatioSolar,ProductionRatioThermal,ProductionRatioWind
2021-01-01,ProduktionsReference,2025-01-01,YDN,Ydernæs,11.740208,55.209113,-36647.35501,5.7,0.7282,93.6
2021-01-01,ProduktionsReference,2025-01-01,VSTØ,Vestgård,12.455653,55.656382,-102404.2969,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,VORØ,Vordingborg,11.889803,55.001408,-53232.33463,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,VLO,132 KV STATION VESTLOLLAND,11.180006,54.836249,168368.5979,79.1,0,20.9
2021-01-01,ProduktionsReference,2025-01-01,VKE,Vestkraft,10.090948,57.061675,0,,,
2021-01-01,ProduktionsReference,2025-01-01,VIL,150 KV STATION VILSTED,9.298358,56.917647,93107.89155,19.6,10.6659,69.8
2021-01-01,ProduktionsReference,2025-01-01,VIK,132 KV STATION VIGERSLEV KBST.,12.494421,55.659155,-410575.7472,69.1,18.022,12.8
2021-01-01,ProduktionsReference,2025-01-01,VID,150 KV STATION VIDEBÆK,8.599372,56.099666,8747.870283,10.6,26.4293,63
2021-01-01,ProduktionsReference,2025-01-01,VIBØ,Vibegård,12.422094,55.659079,-30982.56704,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,VHA,150 KV STATION VESTER HASSING,10.086822,57.064376,55457.89956,2.9,17.4631,79.6
2021-01-01,ProduktionsReference,2025-01-01,VEMØ,Vemmelev,11.253451,55.35685,-4876.046147,5.1,0,94.9
2021-01-01,ProduktionsReference,2025-01-01,VEJ,132 KV STATION VEJLEÅ,12.319353,55.660775,-192318.3057,39.1,50.0589,10.9
2021-01-01,ProduktionsReference,2025-01-01,VBYØ,Vejbygård,12.149259,56.06724,-64540.25923,1.3,82.0005,16.7
2021-01-01,ProduktionsReference,2025-01-01,VAL,132 KV STATION VALSEVÆRKET,12.019245,55.960101,-150828.2637,52.6,0,47.4
2021-01-01,ProduktionsReference,2025-01-01,ULLØ,Ullerødgård,12.49657,55.916779,-59732.58845,30.4,69.5519,0
2021-01-01,ProduktionsReference,2025-01-01,TVM,TvejeMerløse,11.690805,55.690287,-97045.01595,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,TUP,Tårupnord,9.662754,55.556558,-316361.5736,,,
2021-01-01,ProduktionsReference,2025-01-01,TSTØ,Tåstrupgård,12.282353,55.639034,-106818.9189,71.9,28.1265,0
2021-01-01,ProduktionsReference,2025-01-01,TRO,Trollesgård,12.272473,55.920011,-132745.4777,1.6,98.3777,0
2021-01-01,ProduktionsReference,2025-01-01,TRN,Tårnborg,11.141239,55.349059,-41542.65851,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,TRI,150 KV STATION TRIGE,10.139958,56.274495,2082344.328,12.8,0,87.2
2021-01-01,ProduktionsReference,2025-01-01,TOR,132 KV STATION TORSLUNDE,11.491758,55.71757,32500.23518,88.1,0,11.9
2021-01-01,ProduktionsReference,2025-01-01,TOK,Toksværd,11.874469,55.247213,-7978.184123,7.1,0,92.9
2021-01-01,ProduktionsReference,2025-01-01,THY,Thyregod,9.249261,55.909829,-85377.18326,4.3,4.8147,90.9
2021-01-01,ProduktionsReference,2025-01-01,THØ,150 KV STATION TINGHØJ,9.893529,56.70256,111465.2085,10.9,2.3189,86.8
2021-01-01,ProduktionsReference,2025-01-01,TERØ,Tersløse,11.477135,55.513785,24363.14967,1.6,10.3082,88.1
2021-01-01,ProduktionsReference,2025-01-01,TEG,132 KV STATION TEGLSTRUPGÅRD,12.563655,56.028679,-65354.38895,99.1,0.8893,0
2021-01-01,ProduktionsReference,2025-01-01,TBY,Tårnby,12.248071,55.385314,-41591.74811,21.8,16.7852,61.4
2021-01-01,ProduktionsReference,2025-01-01,TARØ,Tågerup,12.20091,55.277576,-13866.66292,9.2,0,90.8
2021-01-01,ProduktionsReference,2025-01-01,TAN,150 KV STATION TANGE,9.595596,56.359021,-222308.8937,18,25.4622,56.5
2021-01-01,ProduktionsReference,2025-01-01,SYV,Syvhøjgård,12.374946,55.643228,-93508.33778,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,SVS,150 KV STATION SKÆRBÆKVÆRKET,9.614596,55.512952,273933.9754,0,100,0
2021-01-01,ProduktionsReference,2025-01-01,SVGV,Søndervig,8.153381,56.123462,785349.8248,0.4,0,99.6
2021-01-01,ProduktionsReference,2025-01-01,SVGØ,Svinninge,11.463728,55.72432,-43724.3202,46.6,0,53.4
2021-01-01,ProduktionsReference,2025-01-01,SVBØ,Svebølle,11.31028,55.63676,-32728.19965,82.5,17.4581,0
2021-01-01,ProduktionsReference,2025-01-01,SVB,150 KV STATION SVENDBORG,10.575477,55.070253,131243.4647,64,1.1709,34.9
2021-01-01,ProduktionsReference,2025-01-01,STVØ,Stigsnæs værket,11.254884,55.208523,-5274.802122,61.3,0,38.7
2021-01-01,ProduktionsReference,2025-01-01,STSV,Stovstrup,8.581131,55.904881,325089.3834,5.5,6.1484,88.3
2021-01-01,ProduktionsReference,2025-01-01,STSØ,132 KV STATION STATOIL SYD,11.092008,55.648983,30297.85036,59,0,41
2021-01-01,ProduktionsReference,2025-01-01,STR,150 KV STATION STRUER,8.58157,56.483223,-94126.1099,5.6,41.6279,52.8
2021-01-01,ProduktionsReference,2025-01-01,STOØ,Statoil,11.102889,55.660385,-62428.70541,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,STM,Stokkemarke,11.360537,54.829315,14518.60052,1.3,0,98.7
2021-01-01,ProduktionsReference,2025-01-01,STH,Heddinge,12.385125,55.302282,-30367.02863,8.1,0,91.9
2021-01-01,ProduktionsReference,2025-01-01,STEØ,Stevns,12.323301,55.30453,-3449.894987,4.2,78.266,17.5
