,model type,target_feature,n_steps_in,n_nodes,n_nodes_cnn,layers,val_RMSE,val_MAE
0,LSTM,total_kWhDelivered,4,5,32,1,18.489761745855898,13.28806724259316
1,LSTM,total_kWhDelivered,4,5,32,2,18.146227417968536,13.09223553676773
2,LSTM,total_kWhDelivered,4,50,32,1,15.642851289096704,11.347772972856013
3,LSTM,total_kWhDelivered,4,50,32,2,15.732587116261707,11.038430854357724
4,LSTM,total_kWhDelivered,4,100,32,1,17.154816352476914,11.636212748750028
5,LSTM,total_kWhDelivered,4,100,32,2,17.512169344866148,11.699630820085684
6,LSTM,total_kWhDelivered,15,5,32,1,14.974745901755723,10.446199353672554
7,LSTM,total_kWhDelivered,15,5,32,2,36.3482759971529,26.19444674494184
8,LSTM,total_kWhDelivered,15,50,32,1,13.657330536212541,9.884823744227765
9,LSTM,total_kWhDelivered,15,50,32,2,13.793978381689971,9.92487914388346
10,LSTM,total_kWhDelivered,15,100,32,1,14.833352487479326,10.16337070405881
11,LSTM,total_kWhDelivered,15,100,32,2,14.061600478907488,9.808642158976427
12,LSTM,total_kWhDelivered,50,5,32,1,14.425960132262846,10.110160835015417
13,LSTM,total_kWhDelivered,50,5,32,2,14.787742065605347,10.129514416264175
14,LSTM,total_kWhDelivered,50,50,32,1,14.17163218449269,9.888483268185478
15,LSTM,total_kWhDelivered,50,50,32,2,14.331194828758523,9.78932532095706
16,LSTM,total_kWhDelivered,50,100,32,1,14.659755035179039,10.041695751832222
17,LSTM,total_kWhDelivered,50,100,32,2,14.965715441724276,10.320215793370476
18,LSTM,carsCharging,4,5,32,1,4.845591021015458,3.386827904790708
19,LSTM,carsCharging,4,5,32,2,9.770009684992704,6.610983981693364
20,LSTM,carsCharging,4,50,32,1,3.8137802406049826,2.444561372768961
21,LSTM,carsCharging,4,50,32,2,3.6053426675081206,2.455754224304749
22,LSTM,carsCharging,4,100,32,1,3.7610235873168043,2.529263470893048
23,LSTM,carsCharging,4,100,32,2,4.068661362366683,2.726334921487136
24,LSTM,carsCharging,15,5,32,1,3.595141091443134,2.5230587576974175
25,LSTM,carsCharging,15,5,32,2,3.258311140436674,2.376871540801476
