,model type,n_steps_in,n_nodes,train,val_RMSE,val_MAE
0,LSTM,4,5,12.251669260310734,13.07757352014659,8.025814501351393
1,LSTM,4,50,11.086701215205577,13.533009254442119,7.744457087002121
2,LSTM,4,100,10.687268944003142,14.265597508218145,7.968486960576873
3,LSTM,15,5,13.256711490502619,14.191693229805441,9.080867544753932
4,LSTM,15,50,8.122544763569394,12.407060386451866,6.894734311651838
5,LSTM,15,100,7.300944829369922,12.851153852407233,7.33301589005585
6,LSTM,50,5,9.857031916165738,10.559057807019975,6.013690446090155
7,LSTM,50,50,6.24107928347962,11.902210471653843,6.6180996816223265
8,LSTM,50,100,4.449837781968672,12.81153945585063,6.930518096961456
9,GRU,4,5,12.659446421849772,13.803120698532549,8.658890418568165
10,GRU,4,50,11.866278459177284,13.602383861118081,8.343087009036298
11,GRU,4,100,10.514722417142817,15.60949144692552,8.936149095130578
12,GRU,15,5,11.119596045117234,12.071334969627998,7.038826700852571
13,GRU,15,50,8.157146921357645,12.20711497473995,6.758916618669858
14,GRU,15,100,6.508184341322697,12.770728284731568,6.999310483530945
15,GRU,50,5,11.347064781717469,12.099960449232826,7.357943493513344
16,GRU,50,50,6.742228675835471,11.429569153735391,5.9935643243287435
17,GRU,50,100,6.745143184326342,12.140179939201593,6.646150521670873
