Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
171,Union City,San Francisco Bay,2/2/2018,0100,033,0.00,R,0.00, ,0, ,0.9, ,7.8, ,86, ,5.6, ,0.4,I,163, ,11.8, 
171,Union City,San Francisco Bay,2/2/2018,0200,033,0.00,R,0.00, ,0, ,0.9, ,7.2, ,88, ,5.4, ,0.4,I,111, ,11.8, 
171,Union City,San Francisco Bay,2/2/2018,0300,033,0.00,R,0.00, ,0, ,0.9, ,6.6, ,89, ,5.0, ,0.4,I,34, ,11.7, 
171,Union City,San Francisco Bay,2/2/2018,0400,033,0.00,R,0.00, ,0, ,0.9, ,6.1, ,91, ,4.7, ,0.4,I,25, ,11.6, 
171,Union City,San Francisco Bay,2/2/2018,0500,033,0.00,R,0.00, ,0, ,0.8, ,5.5, ,92, ,4.3, ,0.4,I,31, ,11.6, 
171,Union City,San Francisco Bay,2/2/2018,0600,033,0.00,R,0.00, ,0, ,0.8, ,5.2, ,94, ,4.3, ,0.4,I,50, ,11.5, 
171,Union City,San Francisco Bay,2/2/2018,0700,033,0.00,R,0.00, ,0, ,0.8, ,5.0, ,95, ,4.3, ,0.4,I,46, ,11.4, 
171,Union City,San Francisco Bay,2/2/2018,0800,033,0.00,R,0.00, ,13, ,0.8, ,5.3, ,95, ,4.6, ,0.4,I,349, ,11.3, 
171,Union City,San Francisco Bay,2/2/2018,0900,033,0.00,R,0.00, ,37, ,1.0, ,8.6, ,90, ,7.0, ,0.4,I,254, ,11.2, 
171,Union City,San Francisco Bay,2/2/2018,1000,033,0.06,R,0.00, ,139, ,1.1, ,13.4, ,70, ,8.1, ,0.4,I,264, ,11.2, 
171,Union City,San Francisco Bay,2/2/2018,1100,033,0.18,R,0.00, ,332, ,1.2, ,16.8, ,61, ,9.1, ,0.4,I,221, ,11.1, 
171,Union City,San Francisco Bay,2/2/2018,1200,033,0.25,R,0.00, ,411, ,1.1, ,20.4,Y,44,Y,7.7,Y,0.4,I,178, ,11.0, 
171,Union City,San Francisco Bay,2/2/2018,1300,033,0.29,Y,0.00, ,448, ,0.8, ,22.2,Y,32,Y,4.6,Y,0.4, ,39, ,11.0, 
171,Union City,San Francisco Bay,2/2/2018,1400,033,0.30,Y,0.00, ,466, ,0.8, ,23.1,Y,30,Y,4.5,Y,0.5, ,27, ,11.1, 
171,Union City,San Francisco Bay,2/2/2018,1500,033,0.24,Y,0.00, ,385, ,0.9, ,23.4,Y,31,Y,5.1,Y,0.5, ,10, ,11.2, 
171,Union City,San Francisco Bay,2/2/2018,1600,033,0.15,Y,0.00, ,249, ,0.9, ,23.2,Y,30,Y,4.9,Y,0.5, ,74, ,11.4, 
171,Union City,San Francisco Bay,2/2/2018,1700,033,0.06,R,0.00, ,120, ,1.0, ,20.4, ,44, ,7.6, ,0.4,I,262, ,11.6, 
171,Union City,San Francisco Bay,2/2/2018,1800,033,0.02,R,0.00, ,9, ,1.1, ,17.9, ,52, ,8.0, ,0.4,I,113, ,11.7, 
171,Union City,San Francisco Bay,2/2/2018,1900,033,0.00,R,0.00, ,0, ,1.1, ,14.8, ,64, ,8.0, ,0.4,I,128, ,11.9, 
171,Union City,San Francisco Bay,2/2/2018,2000,033,0.00,R,0.00, ,0, ,1.1, ,13.1, ,72, ,8.1, ,0.4,I,104, ,12.0, 
171,Union City,San Francisco Bay,2/2/2018,2100,033,0.00,R,0.00, ,0, ,1.1, ,12.0, ,77, ,8.1, ,0.4,I,102, ,12.1, 
171,Union City,San Francisco Bay,2/2/2018,2200,033,0.00,R,0.00, ,0, ,1.1, ,11.1, ,81, ,8.0, ,0.4,I,340, ,12.1, 
171,Union City,San Francisco Bay,2/2/2018,2300,033,0.00,R,0.00, ,0, ,1.0, ,10.4, ,83, ,7.6, ,0.4,I,27, ,12.1, 
171,Union City,San Francisco Bay,2/2/2018,2400,033,0.00,R,0.00, ,0, ,1.0, ,9.1, ,86, ,6.9, ,0.4,I,20, ,12.0, 
171,Union City,San Francisco Bay,2/3/2018,0100,034,0.00,R,0.00, ,0, ,1.0, ,8.3, ,88, ,6.5, ,0.4,I,33, ,12.0, 
171,Union City,San Francisco Bay,2/3/2018,0200,034,0.00,R,0.00, ,0, ,0.9, ,7.6, ,90, ,6.1, ,0.4,I,143, ,11.9, 
171,Union City,San Francisco Bay,2/3/2018,0300,034,0.00,R,0.00, ,0, ,0.9, ,7.2, ,91, ,5.9, ,0.4,I,340, ,11.9, 
171,Union City,San Francisco Bay,2/3/2018,0400,034,0.00,R,0.00, ,0, ,0.9, ,6.8, ,92, ,5.6, ,0.4,I,118, ,11.8, 
171,Union City,San Francisco Bay,2/3/2018,0500,034,0.00,R,0.00, ,0, ,0.9, ,6.3, ,93, ,5.3, ,0.4,I,314, ,11.7, 
171,Union City,San Francisco Bay,2/3/2018,0600,034,0.00,R,0.00, ,0, ,0.9, ,6.7, ,93, ,5.6, ,0.4,I,255, ,11.7, 
171,Union City,San Francisco Bay,2/3/2018,0700,034,0.00,R,0.00, ,0, ,0.9, ,6.3, ,92, ,5.1, ,0.4,I,168, ,11.6, 
171,Union City,San Francisco Bay,2/3/2018,0800,034,0.00,R,0.00, ,13, ,0.9, ,6.7, ,93, ,5.6, ,0.4,I,160, ,11.5, 
171,Union City,San Francisco Bay,2/3/2018,0900,034,0.00,R,0.00, ,31, ,1.1, ,10.3, ,85, ,7.9, ,0.4,I,238, ,11.4, 
171,Union City,San Francisco Bay,2/3/2018,1000,034,0.05,R,0.00, ,124, ,1.1, ,15.6, ,63, ,8.5, ,0.4,I,262, ,11.3, 
171,Union City,San Francisco Bay,2/3/2018,1100,034,0.26,R,0.00, ,435, ,1.0, ,20.4,Y,44,Y,7.6,Y,0.4,I,198, ,11.3, 
171,Union City,San Francisco Bay,2/3/2018,1200,034,0.33,R,0.00, ,528, ,1.0, ,21.8,Y,38,Y,6.9,Y,0.4,I,334, ,11.2, 
171,Union City,San Francisco Bay,2/3/2018,1300,034,0.36,Y,0.00, ,549, ,1.0, ,23.0,Y,35,Y,6.8,Y,0.4, ,346, ,11.2, 
171,Union City,San Francisco Bay,2/3/2018,1400,034,0.34,Y,0.00, ,513, ,0.9, ,24.0,Y,29,Y,5.0,Y,0.4, ,55, ,11.3, 
171,Union City,San Francisco Bay,2/3/2018,1500,034,0.27,R,0.00, ,423, ,0.9, ,24.7,Y,28,Y,5.0,Y,0.4,I,41, ,11.5, 
171,Union City,San Francisco Bay,2/3/2018,1600,034,0.17,R,0.00, ,288, ,1.0, ,23.8,Y,34,Y,6.9,Y,0.4,I,256, ,11.7, 
171,Union City,San Francisco Bay,2/3/2018,1700,034,0.07,R,0.00, ,133, ,1.0, ,22.0,Y,38,Y,7.1,Y,0.4,I,274, ,11.9, 
171,Union City,San Francisco Bay,2/3/2018,1800,034,0.03,R,0.00, ,11, ,1.1, ,19.2,Y,48,Y,8.1,Y,0.4,I,186, ,12.1, 
171,Union City,San Francisco Bay,2/3/2018,1900,034,0.00,R,0.00, ,0, ,1.1, ,15.9, ,63, ,8.9, ,0.4,I,47, ,12.2, 
171,Union City,San Francisco Bay,2/3/2018,2000,034,0.00,R,0.00, ,0, ,1.1, ,13.8, ,72, ,8.8, ,0.4,I,90, ,12.3, 
171,Union City,San Francisco Bay,2/3/2018,2100,034,0.00,R,0.00, ,0, ,1.1, ,12.7, ,75, ,8.3, ,0.4,I,130, ,12.4, 
171,Union City,San Francisco Bay,2/3/2018,2200,034,0.00,R,0.00, ,0, ,1.1, ,11.6, ,77, ,7.8, ,0.4,I,15, ,12.4, 
171,Union City,San Francisco Bay,2/3/2018,2300,034,0.00,R,0.00, ,0, ,1.0, ,10.8, ,80, ,7.5, ,0.4,I,74, ,12.4, 
171,Union City,San Francisco Bay,2/3/2018,2400,034,0.00,R,0.00, ,0, ,1.0, ,10.1, ,83, ,7.3, ,0.4,I,340, ,12.4, 
171,Union City,San Francisco Bay,2/4/2018,0100,035,0.00,R,0.00, ,0, ,1.0, ,9.7, ,84, ,7.1, ,0.4,I,30, ,12.4, 
171,Union City,San Francisco Bay,2/4/2018,0200,035,0.00,R,0.00, ,0, ,1.0, ,9.1, ,86, ,6.8, ,0.4,I,131, ,12.3, 
171,Union City,San Francisco Bay,2/4/2018,0300,035,0.00,R,0.00, ,0, ,1.0, ,8.7, ,87, ,6.6, ,0.4,I,111, ,12.3, 
171,Union City,San Francisco Bay,2/4/2018,0400,035,0.00,R,0.00, ,0, ,1.0, ,8.4, ,88, ,6.5, ,0.4,I,309, ,12.2, 
171,Union City,San Francisco Bay,2/4/2018,0500,035,0.00,R,0.00, ,0, ,1.0, ,8.4, ,88, ,6.5, ,0.4,I,49, ,12.1, 
171,Union City,San Francisco Bay,2/4/2018,0600,035,0.00,R,0.00, ,0, ,1.0, ,7.9, ,90, ,6.3, ,0.4,I,125, ,12.0, 
171,Union City,San Francisco Bay,2/4/2018,0700,035,0.00,R,0.00, ,0, ,0.9, ,7.4, ,91, ,6.0, ,0.4,I,342, ,12.0, 
171,Union City,San Francisco Bay,2/4/2018,0800,035,0.00,R,0.00, ,26, ,0.9, ,7.1, ,92, ,6.0, ,0.4,I,70, ,11.9, 
171,Union City,San Francisco Bay,2/4/2018,0900,035,0.03,R,0.00, ,86, ,1.1, ,10.4, ,87, ,8.2, ,0.4,I,198, ,11.8, 
171,Union City,San Francisco Bay,2/4/2018,1000,035,0.09,R,0.00, ,195, ,1.1, ,15.1, ,67, ,9.0, ,0.4,I,180, ,11.7, 
171,Union City,San Francisco Bay,2/4/2018,1100,035,0.14,R,0.00, ,264, ,1.1, ,17.8, ,56, ,9.0, ,0.4,I,223, ,11.7, 
171,Union City,San Francisco Bay,2/4/2018,1200,035,0.15,R,0.00, ,274, ,1.2, ,18.2, ,57, ,9.5, ,0.4,I,310, ,11.6, 
171,Union City,San Francisco Bay,2/4/2018,1300,035,0.30,R,0.00, ,476, ,1.1, ,20.6,Y,47,Y,9.0,Y,0.4,I,202, ,11.7, 
171,Union City,San Francisco Bay,2/4/2018,1400,035,0.32,Y,0.00, ,510, ,1.1, ,22.0,Y,41,Y,8.2,Y,0.5, ,315, ,11.7, 
171,Union City,San Francisco Bay,2/4/2018,1500,035,0.25,R,0.00, ,423, ,1.2, ,20.7, ,49, ,9.6, ,0.4,I,248, ,11.9, 
171,Union City,San Francisco Bay,2/4/2018,1600,035,0.17,R,0.00, ,292, ,1.1, ,21.7, ,43, ,8.7, ,0.4,I,278, ,12.0, 
171,Union City,San Francisco Bay,2/4/2018,1700,035,0.07,R,0.00, ,138, ,1.1, ,21.6,Y,43,Y,8.5,Y,0.4,I,287, ,12.2, 
171,Union City,San Francisco Bay,2/4/2018,1800,035,0.02,R,0.00, ,13, ,1.1, ,19.1,Y,51,Y,8.8,Y,0.4,I,317, ,12.4, 
171,Union City,San Francisco Bay,2/4/2018,1900,035,0.00,R,0.00, ,0, ,1.2, ,15.6, ,66, ,9.4, ,0.4,I,64, ,12.5, 
171,Union City,San Francisco Bay,2/4/2018,2000,035,0.00,R,0.00, ,0, ,1.1, ,13.6, ,73, ,8.9, ,0.4,I,140, ,12.6, 
171,Union City,San Francisco Bay,2/4/2018,2100,035,0.00,R,0.00, ,0, ,1.1, ,12.3, ,74, ,7.8, ,0.4,I,290, ,12.7, 
171,Union City,San Francisco Bay,2/4/2018,2200,035,0.00,R,0.00, ,0, ,1.0, ,11.4, ,75, ,7.2, ,0.4,I,44, ,12.7, 
171,Union City,San Francisco Bay,2/4/2018,2300,035,0.00,R,0.00, ,0, ,1.0, ,10.4, ,78, ,6.7, ,0.4,I,110, ,12.7, 
171,Union City,San Francisco Bay,2/4/2018,2400,035,0.00,R,0.00, ,0, ,1.0, ,9.6, ,81, ,6.5, ,0.4,I,124, ,12.6, 
171,Union City,San Francisco Bay,2/5/2018,0100,036,0.00,R,0.00, ,0, ,0.9, ,8.6, ,85, ,6.2, ,0.4,I,359, ,12.6, 
171,Union City,San Francisco Bay,2/5/2018,0200,036,0.00,R,0.00, ,0, ,0.9, ,7.8, ,87, ,5.8, ,0.4,I,9, ,12.5, 
171,Union City,San Francisco Bay,2/5/2018,0300,036,0.00,R,0.00, ,0, ,0.9, ,7.3, ,89, ,5.7, ,0.4,I,102, ,12.4, 
171,Union City,San Francisco Bay,2/5/2018,0400,036,0.00,R,0.00, ,0, ,0.9, ,6.7, ,90, ,5.2, ,0.4,I,37, ,12.4, 
171,Union City,San Francisco Bay,2/5/2018,0500,036,0.00,R,0.00, ,0, ,0.9, ,6.4, ,91, ,5.1, ,0.4,I,94, ,12.3, 
171,Union City,San Francisco Bay,2/5/2018,0600,036,0.00,R,0.00, ,0, ,0.9, ,6.6, ,92, ,5.4, ,0.4,I,321, ,12.2, 
171,Union City,San Francisco Bay,2/5/2018,0700,036,0.00,R,0.00, ,0, ,0.9, ,6.3, ,92, ,5.1, ,0.4,I,353, ,12.1, 
171,Union City,San Francisco Bay,2/5/2018,0800,036,0.00,R,0.00, ,13, ,0.9, ,6.3, ,93, ,5.2, ,0.4,I,109, ,12.0, 
171,Union City,San Francisco Bay,2/5/2018,0900,036,0.00,R,0.00, ,49, ,1.0, ,8.7, ,91, ,7.4, ,0.4,I,194, ,11.9, 
171,Union City,San Francisco Bay,2/5/2018,1000,036,0.05,R,0.00, ,132, ,1.1, ,13.0, ,72, ,8.2, ,0.4,I,194, ,11.8, 
171,Union City,San Francisco Bay,2/5/2018,1100,036,0.26,R,0.00, ,455, ,1.1, ,18.0, ,54, ,8.6, ,0.4,I,131, ,11.7, 
171,Union City,San Francisco Bay,2/5/2018,1200,036,0.32,R,0.00, ,518, ,1.2, ,20.3,Y,49,Y,9.2,Y,0.4,I,276, ,11.7, 
171,Union City,San Francisco Bay,2/5/2018,1300,036,0.31,R,0.00, ,487, ,1.2, ,21.0,Y,47,Y,9.4,Y,0.4,I,286, ,11.7, 
171,Union City,San Francisco Bay,2/5/2018,1400,036,0.25,R,0.00, ,397, ,1.1, ,21.5, ,42, ,8.1, ,0.4,I,300, ,11.7, 
171,Union City,San Francisco Bay,2/5/2018,1500,036,0.24,R,0.00, ,389, ,1.0, ,22.4,Y,39,Y,7.6,Y,0.4,I,279, ,11.9, 
171,Union City,San Francisco Bay,2/5/2018,1600,036,0.17,R,0.00, ,284, ,1.0, ,22.5,Y,38,Y,7.6,Y,0.4,I,277, ,12.1, 
171,Union City,San Francisco Bay,2/5/2018,1700,036,0.07,R,0.00, ,139, ,1.1, ,21.2, ,44, ,8.4, ,0.4,I,283, ,12.3, 
