,model type,target_feature,n_steps_in,n_nodes,n_nodes_cnn,layers,val_RMSE,val_MAE
0,CNN,total_kWhDelivered,4,5,32,1,18.534038998485006,13.325356480872195
1,CNN,total_kWhDelivered,4,5,32,2,16.080463563707216,11.787169041271436
2,CNN,total_kWhDelivered,4,5,64,1,17.914919157423856,13.065115322578146
3,CNN,total_kWhDelivered,4,5,64,2,15.79838944910719,11.257969853656355
4,CNN,total_kWhDelivered,4,50,32,1,18.37255742879071,13.746671152601603
5,CNN,total_kWhDelivered,4,50,32,2,16.10351162088342,11.642318339619305
6,CNN,total_kWhDelivered,4,50,64,1,17.902506590908896,13.129152810483491
7,CNN,total_kWhDelivered,4,50,64,2,16.20071595148469,11.642924776070137
8,CNN,total_kWhDelivered,4,100,32,1,18.122409096531968,13.263838246027962
9,CNN,total_kWhDelivered,4,100,32,2,16.400745255445344,12.02395264549573
10,CNN,total_kWhDelivered,4,100,64,1,18.16569873433046,13.483146074453382
11,CNN,total_kWhDelivered,4,100,64,2,16.146306795942927,11.663310818525625
12,CNN,total_kWhDelivered,15,5,32,1,13.699260267880772,9.46820938497639
13,CNN,total_kWhDelivered,15,5,32,2,13.30288341460722,9.382311425397239
14,CNN,total_kWhDelivered,15,5,64,1,14.084576817460636,9.716665411528995
15,CNN,total_kWhDelivered,15,5,64,2,13.27961450010415,9.361028052730362
16,CNN,total_kWhDelivered,15,50,32,1,13.818386191499918,9.706380600616288
17,CNN,total_kWhDelivered,15,50,32,2,13.582287861760468,9.666079884339984
18,CNN,total_kWhDelivered,15,50,64,1,13.780866826524592,9.676273724951425
19,CNN,total_kWhDelivered,15,50,64,2,13.854372231650302,9.908498288793485
20,CNN,total_kWhDelivered,15,100,32,1,14.073699014678597,10.183517000112486
21,CNN,total_kWhDelivered,15,100,32,2,13.404297816394514,9.480345667065475
22,CNN,total_kWhDelivered,15,100,64,1,13.877986171787128,9.667995347210729
23,CNN,total_kWhDelivered,15,100,64,2,13.615562181063984,9.712890820791774
24,CNN,total_kWhDelivered,50,5,32,1,15.372240671365718,10.665973888359439
25,CNN,total_kWhDelivered,50,5,32,2,14.719012089845245,10.05455945246296
26,CNN,total_kWhDelivered,50,5,64,1,15.767755825962137,11.307606444571638
27,CNN,total_kWhDelivered,50,5,64,2,14.618472099250232,9.985253260120837
28,CNN,total_kWhDelivered,50,50,32,1,15.421963735853488,10.661301990077229
29,CNN,total_kWhDelivered,50,50,32,2,14.31662773453696,10.069923221764125
30,CNN,total_kWhDelivered,50,50,64,1,15.959055544978696,11.082170562223332
31,CNN,total_kWhDelivered,50,50,64,2,14.702968974423701,10.354566670005768
32,CNN,total_kWhDelivered,50,100,32,1,15.3420200153006,10.656583094774698
33,CNN,total_kWhDelivered,50,100,32,2,14.778261453572028,9.918348821907626
34,CNN,total_kWhDelivered,50,100,64,1,16.56403346077399,11.57052532908353
35,CNN,total_kWhDelivered,50,100,64,2,15.116417964764722,10.313245007322271
36,CNN,carsCharging,4,5,32,1,4.630012495044055,3.397693325643954
37,CNN,carsCharging,4,5,32,2,3.94834182063691,2.851402965781345
38,CNN,carsCharging,4,5,64,1,4.4498342070710075,3.199942570665608
39,CNN,carsCharging,4,5,64,2,3.6469327292121108,2.5717701512970694
40,CNN,carsCharging,4,50,32,1,4.6156970831691995,3.367398167911329
41,CNN,carsCharging,4,50,32,2,3.8380888116432947,2.7458816472125545
42,CNN,carsCharging,4,50,64,1,4.585133435201968,3.3451441053122077
43,CNN,carsCharging,4,50,64,2,3.870163433401855,2.7328300220333466
44,CNN,carsCharging,4,100,32,1,4.501339195156333,3.178811040159221
45,CNN,carsCharging,4,100,32,2,3.84413648411317,2.7229516919472125
46,CNN,carsCharging,4,100,64,1,4.529006282533518,3.262219769185413
47,CNN,carsCharging,4,100,64,2,3.6815593918906124,2.6471311810769533
48,CNN,carsCharging,15,5,32,1,3.185305766038159,2.1875000533304716
49,CNN,carsCharging,15,5,32,2,2.8780239216795116,1.978392211741659
50,CNN,carsCharging,15,5,64,1,3.084862927397975,2.0598129125427054
51,CNN,carsCharging,15,5,64,2,2.9078323483732893,2.0558531686015753
52,CNN,carsCharging,15,50,32,1,3.21947137081507,2.2335490413879637
53,CNN,carsCharging,15,50,32,2,2.950035321391846,2.070802210670314
54,CNN,carsCharging,15,50,64,1,3.080301242438618,2.13286582828932
55,CNN,carsCharging,15,50,64,2,2.765892103352466,1.884734769912279
56,CNN,carsCharging,15,100,32,1,3.239544146986337,2.2234943803715215
57,CNN,carsCharging,15,100,32,2,3.0639382056629736,2.158055826851105
58,CNN,carsCharging,15,100,64,1,2.8609808297487356,2.0145107547260257
59,CNN,carsCharging,15,100,64,2,2.8931216839068825,2.0362456912852536
60,CNN,carsCharging,50,5,32,1,3.2479726563877005,2.2468518301060327
61,CNN,carsCharging,50,5,32,2,2.9603243199670892,2.0178427743966303
62,CNN,carsCharging,50,5,64,1,3.592552402309882,2.5018154068997034
63,CNN,carsCharging,50,5,64,2,3.1359356631900903,2.154955482455631
64,CNN,carsCharging,50,50,32,1,3.388890638691936,2.335991148681335
65,CNN,carsCharging,50,50,32,2,2.852703220213023,2.010241711303353
66,CNN,carsCharging,50,50,64,1,3.528613440524329,2.4668438324120823
67,CNN,carsCharging,50,50,64,2,3.0156361714265962,2.1450838430249717
68,CNN,carsCharging,50,100,32,1,3.4434047756648343,2.389848238679855
69,CNN,carsCharging,50,100,32,2,2.8778580889334417,1.987186141158678
70,CNN,carsCharging,50,100,64,1,3.6474396571220233,2.5359607915856475
71,CNN,carsCharging,50,100,64,2,3.12174122889292,2.135236504967207
72,CNN,carsIdle,4,5,32,1,4.573575745022335,3.2732558212236627
73,CNN,carsIdle,4,5,32,2,4.196078571499015,2.761357751809214
74,CNN,carsIdle,4,5,64,1,4.724960601799577,3.5064960734181327
75,CNN,carsIdle,4,5,64,2,3.9781391968497246,2.618766081585491
76,CNN,carsIdle,4,50,32,1,4.577081686480581,3.3787333941432376
77,CNN,carsIdle,4,50,32,2,4.117428641125679,2.6799319960705477
78,CNN,carsIdle,4,50,64,1,4.572660521601524,3.3891573579005847
79,CNN,carsIdle,4,50,64,2,4.241737852909842,2.678738132221475
80,CNN,carsIdle,4,100,32,1,4.713973133387123,3.4523093871584747
81,CNN,carsIdle,4,100,32,2,4.138666767505215,2.7124475996336077
82,CNN,carsIdle,4,100,64,1,4.496088765477354,3.26503443206475
83,CNN,carsIdle,4,100,64,2,4.044360967736594,2.644458175251086
84,CNN,carsIdle,15,5,32,1,3.2857080446153657,2.374000955091734
85,CNN,carsIdle,15,5,32,2,2.9481939193825424,2.0885919498394774
86,CNN,carsIdle,15,5,64,1,3.181593994020088,2.314821168609833
87,CNN,carsIdle,15,5,64,2,2.8231978056145306,1.9767806600924214
88,CNN,carsIdle,15,50,32,1,3.3873367198871978,2.489504516192923
89,CNN,carsIdle,15,50,32,2,2.9875049392995745,2.086568761949408
90,CNN,carsIdle,15,50,64,1,3.277360342789341,2.418229569116228
91,CNN,carsIdle,15,50,64,2,3.3106047483820897,2.2706148851176966
92,CNN,carsIdle,15,100,32,1,3.2597037017504396,2.314370955632535
93,CNN,carsIdle,15,100,32,2,3.0750816819825455,2.0972586272953575
94,CNN,carsIdle,15,100,64,1,3.1777087962063946,2.33750373104617
95,CNN,carsIdle,15,100,64,2,3.0540042572664268,2.153566305932655
96,CNN,carsIdle,50,5,32,1,3.490574978924807,2.4968438767391157
97,CNN,carsIdle,50,5,32,2,3.125283976145149,2.218253088590755
98,CNN,carsIdle,50,5,64,1,4.210129057794716,2.796241478427597
99,CNN,carsIdle,50,5,64,2,3.0952237165352834,2.202805607044724
100,CNN,carsIdle,50,50,32,1,3.419247686776973,2.474855356753827
101,CNN,carsIdle,50,50,32,2,3.0107376575787774,2.0685387276948455
102,CNN,carsIdle,50,50,64,1,4.066506239548079,2.8017602238625083
103,CNN,carsIdle,50,50,64,2,3.2842619983381116,2.2732539271053516
104,CNN,carsIdle,50,100,32,1,3.928208120036572,2.658285235819882
105,CNN,carsIdle,50,100,32,2,2.9635974353259398,2.1023626922197147
106,CNN,carsIdle,50,100,64,1,3.6970036318895843,2.68483332798601
107,CNN,carsIdle,50,100,64,2,3.15217299691519,2.260876072353302
108,LSTM-CNN,total_kWhDelivered,4,5,32,1,17.796560546990648,12.965162376422883
